id,title,description,status,create_user_id,updated_user_id,deleted_user_id,deleted-at,updated_at,created_at
1,"title 4 a",description1,0,1,1,,,2023/02/24,2023/02/24
2,title5,description2,1,1,1,1,2023/03/06,2023/03/06,2023/02/24
3,title6,description3,0,1,1,,,2023/02/24,2023/02/24
4,"Title 1","description 1",0,1,1,,,2023/02/24,2023/02/24
5,"this is the post","this is description",1,1,1,,,2023/02/27,2023/02/27
6,"bulletin delete",Board,1,1,1,1,2023/02/28,2023/02/27,2023/02/27
7,"this is the post 1","this is description",1,1,1,,,2023/02/27,2023/02/27
8,hteeere,sdfsghjk,1,3,3,1,2023/03/01,2023/03/01,2023/02/27
11,"title 4",description1,0,1,1,1,2023/03/06,2023/03/06,2023/03/06
12,title7,description2,1,1,1,1,2023/03/06,2023/03/06,2023/03/06
13,title8,description3,0,1,1,1,2023/03/06,2023/03/06,2023/03/06
19,"title 10","this is description",1,1,1,,,2023/03/06,2023/03/06
21,"title 13",description1,1,1,1,,,2023/03/06,2023/03/06
22,"title 11",description2,1,1,1,,,2023/03/06,2023/03/06
23,"title 12",description3,1,1,1,,,2023/03/06,2023/03/06
24,"title 14",description1,1,1,1,,,2023/03/06,2023/03/06
25,"title 15",description2,1,1,1,,,2023/03/06,2023/03/06
26,"title 16 edit",description3,0,1,1,,,2023/03/07,2023/03/06
27,mpMTZttDoF4WEBN9kdzKnppbq69ifMUvabZDINg1GG8uLw3nPcGvRM9JnICKeAgYmZOBuECTcEpYUHFsZs7OIqSAIYIMR8mnRuHQA39QpDcw4oexQsOuIaWyug3irfaHWuuuVT49VzDcEkj31Qfu8cRhwyFVcQY6xo7CyaY01g9gSR0i47SU0g4hsk3mgGSlGk3eQgSxNm6FAkYaPd3FRkIZBUQ9WWGgqPf50vF3S8huivndV9TQd5Hm8XaXR5k,qwqwqw,1,1,1,1,2023/03/06,2023/03/06,2023/03/06
29,"title 17",Description,1,1,1,,,2023/03/07,2023/03/07
